@relation dataset-weka.filters.unsupervised.attribute.AddValues-C9-L2-weka.filters.unsupervised.attribute.AddValues-C9-L3

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute Tilt {0,1,2,3}
@attribute Swing {0,1,2,3}

@data
1247,'2018/02/14 20:34:01:679',2,32,-80,992,-64,1,1
1248,'2018/02/14 20:34:01:681',2,32,-80,992,64,1,1
1249,'2018/02/14 20:34:01:686',2,32,-80,992,0,1,1
1250,'2018/02/14 20:34:01:697',2,32,-80,1024,32,1,1
1251,'2018/02/14 20:34:01:697',2,16,-80,1024,-32,1,1
1252,'2018/02/14 20:34:01:707',2,16,-80,1024,0,1,1
1253,'2018/02/14 20:34:01:707',2,16,-80,1024,0,1,1
1254,'2018/02/14 20:34:01:716',2,-32,-80,992,-32,1,1
1255,'2018/02/14 20:34:01:726',2,-32,-80,992,32,1,1
1256,'2018/02/14 20:34:01:727',2,-32,-80,992,0,1,1
1257,'2018/02/14 20:34:01:738',2,0,-64,1040,48,1,1
1258,'2018/02/14 20:34:01:738',2,0,-64,1040,-48,1,1
1259,'2018/02/14 20:34:01:747',2,0,-64,1040,0,1,1
1260,'2018/02/14 20:34:01:756',2,-16,-64,1008,-32,1,1
1261,'2018/02/14 20:34:01:756',2,-16,-64,1008,32,1,1
1262,'2018/02/14 20:34:01:767',2,-16,-64,1008,0,1,1
1263,'2018/02/14 20:34:01:767',2,-64,-64,1056,48,1,1
1264,'2018/02/14 20:34:01:777',2,-64,-64,1056,-48,1,1
1265,'2018/02/14 20:34:01:787',2,-64,-64,1056,0,1,1
1266,'2018/02/14 20:34:01:788',2,-64,-64,1056,0,1,1
1267,'2018/02/14 20:34:01:797',2,48,-80,1040,-16,1,1
1268,'2018/02/14 20:34:01:797',2,48,-80,1040,16,1,1
1269,'2018/02/14 20:34:01:807',2,48,-80,1040,0,1,1
1270,'2018/02/14 20:34:01:817',2,16,-96,1040,0,1,1
1271,'2018/02/14 20:34:01:818',2,16,-96,1040,0,1,1
1272,'2018/02/14 20:34:01:827',2,16,-96,1040,0,1,1
1273,'2018/02/14 20:34:01:827',2,-32,-96,1024,-16,1,1
1274,'2018/02/14 20:34:01:837',2,-32,-96,1024,16,1,1
1275,'2018/02/14 20:34:01:847',2,-32,-96,1024,0,1,1
1276,'2018/02/14 20:34:01:847',2,-64,-80,992,-32,1,1
1277,'2018/02/14 20:34:01:856',2,-64,-80,992,32,1,1
1278,'2018/02/14 20:34:01:856',2,-64,-80,992,0,1,1
1279,'2018/02/14 20:34:01:866',2,-48,-112,1024,32,1,1
1280,'2018/02/14 20:34:01:877',2,-48,-112,1024,-32,1,1
1281,'2018/02/14 20:34:01:877',2,-48,-112,1024,0,1,1
1282,'2018/02/14 20:34:01:888',2,-48,-112,1024,0,1,1
1283,'2018/02/14 20:34:01:888',2,0,-128,944,-80,1,1
1284,'2018/02/14 20:34:01:896',2,0,-128,944,80,1,1
1285,'2018/02/14 20:34:01:908',2,0,-128,944,0,1,1
1286,'2018/02/14 20:34:01:908',2,-64,-112,1024,80,1,1
1287,'2018/02/14 20:34:01:917',2,-64,-112,1024,-80,1,1
1288,'2018/02/14 20:34:01:917',2,-64,-112,1024,0,1,1
1289,'2018/02/14 20:34:01:928',2,0,-96,1056,32,1,1
1290,'2018/02/14 20:34:01:937',2,0,-96,1056,-32,1,1
1291,'2018/02/14 20:34:01:937',2,0,-96,1056,0,1,1
1292,'2018/02/14 20:34:01:948',2,-48,-80,1024,-32,1,1
1293,'2018/02/14 20:34:01:948',2,-48,-80,1024,32,1,1
1294,'2018/02/14 20:34:01:956',2,-48,-80,1024,0,1,1
1295,'2018/02/14 20:34:01:967',2,-48,-80,992,-32,1,1
1296,'2018/02/14 20:34:01:967',2,32,-96,992,32,1,1
1297,'2018/02/14 20:34:01:977',2,32,-96,992,0,1,1
1298,'2018/02/14 20:34:01:977',2,32,-96,992,0,1,1
1299,'2018/02/14 20:34:01:986',2,48,-128,944,-48,1,1
1300,'2018/02/14 20:34:01:996',2,48,-128,944,48,1,1
1301,'2018/02/14 20:34:01:996',2,48,-128,944,0,1,1
1302,'2018/02/14 20:34:02:007',2,32,-96,992,48,1,1
1303,'2018/02/14 20:34:02:008',2,32,-96,992,-48,1,1
1304,'2018/02/14 20:34:02:018',2,32,-96,992,0,1,1
1305,'2018/02/14 20:34:02:018',2,0,-64,1056,64,1,1
1306,'2018/02/14 20:34:02:027',2,0,-64,1056,-64,1,1
1307,'2018/02/14 20:34:02:038',2,0,-64,1056,0,1,1
1308,'2018/02/14 20:34:02:038',2,-32,-48,1088,32,1,1
1309,'2018/02/14 20:34:02:047',2,-32,-48,1088,-32,1,1
1310,'2018/02/14 20:34:02:057',2,-32,-48,1088,0,1,1
1311,'2018/02/14 20:34:02:058',2,-32,-48,1088,0,1,1
1312,'2018/02/14 20:34:02:068',2,16,-112,1008,-80,1,1
1313,'2018/02/14 20:34:02:068',2,16,-112,1008,80,1,1
1314,'2018/02/14 20:34:02:076',2,16,-112,1008,0,1,1
1315,'2018/02/14 20:34:02:088',2,0,-96,1024,16,1,1
1316,'2018/02/14 20:34:02:088',2,0,-96,1024,-16,1,1
1317,'2018/02/14 20:34:02:097',2,0,-96,1024,0,1,1
1318,'2018/02/14 20:34:02:097',2,-16,-80,1056,32,1,1
1319,'2018/02/14 20:34:02:107',2,-16,-80,1056,-32,1,1
1320,'2018/02/14 20:34:02:117',2,-16,-80,1056,0,1,1
1321,'2018/02/14 20:34:02:118',2,-16,-80,1040,-16,1,1
1322,'2018/02/14 20:34:02:128',2,-16,-80,1040,16,1,1
1323,'2018/02/14 20:34:02:128',2,-16,-80,1040,0,1,1
1324,'2018/02/14 20:34:02:137',2,-32,-96,992,-48,1,1
1325,'2018/02/14 20:34:02:147',2,-32,-96,992,48,1,1
1326,'2018/02/14 20:34:02:148',2,-32,-96,992,0,1,1
1327,'2018/02/14 20:34:02:158',2,-32,-96,992,0,1,1
1328,'2018/02/14 20:34:02:158',2,32,-112,992,0,1,1
1329,'2018/02/14 20:34:02:167',2,32,-112,992,0,1,1
1330,'2018/02/14 20:34:02:168',2,32,-112,992,0,1,1
1331,'2018/02/14 20:34:02:177',2,16,-64,1008,16,1,1
1332,'2018/02/14 20:34:02:188',2,16,-64,1008,-16,1,1
1333,'2018/02/14 20:34:02:188',2,16,-64,1008,0,1,1
1334,'2018/02/14 20:34:02:197',2,64,-96,992,-16,1,1
1335,'2018/02/14 20:34:02:206',2,64,-96,992,16,1,1
1336,'2018/02/14 20:34:02:207',2,64,-96,992,0,1,1
1337,'2018/02/14 20:34:02:217',2,16,-48,1056,64,1,1
1338,'2018/02/14 20:34:02:218',2,16,-48,1056,-64,1,1
1339,'2018/02/14 20:34:02:226',2,16,-48,1056,0,1,1
1340,'2018/02/14 20:34:02:239',2,16,-32,1104,48,1,1
1341,'2018/02/14 20:34:02:239',2,-32,-32,1104,-48,1,1
1342,'2018/02/14 20:34:02:247',2,-32,-32,1104,0,1,1
1343,'2018/02/14 20:34:02:247',2,-32,-32,1104,0,1,1
1344,'2018/02/14 20:34:02:258',2,16,-32,1088,-16,1,1
1345,'2018/02/14 20:34:02:258',2,16,-32,1088,16,1,1
1346,'2018/02/14 20:34:02:267',2,16,-32,1088,0,1,1
1347,'2018/02/14 20:34:02:276',2,32,-48,1040,-48,1,1
1348,'2018/02/14 20:34:02:276',2,32,-48,1040,48,1,1
1349,'2018/02/14 20:34:02:287',2,32,-48,1040,0,1,1
1350,'2018/02/14 20:34:02:297',2,16,-64,1024,-16,1,1
1351,'2018/02/14 20:34:02:298',2,16,-64,1024,16,1,1
1352,'2018/02/14 20:34:02:307',2,16,-64,1024,0,1,1
1353,'2018/02/14 20:34:02:307',2,32,-48,1072,48,1,1
1354,'2018/02/14 20:34:02:316',2,32,-48,1072,-48,1,1
1355,'2018/02/14 20:34:02:327',2,32,-48,1072,0,1,1
1356,'2018/02/14 20:34:02:327',2,32,-48,1072,0,1,1
1357,'2018/02/14 20:34:02:337',2,32,-32,1072,0,1,1
1358,'2018/02/14 20:34:02:338',2,32,-32,1072,0,1,1
1359,'2018/02/14 20:34:02:347',2,32,-32,1072,0,1,1
1360,'2018/02/14 20:34:02:358',2,0,-48,1056,-16,1,1
1361,'2018/02/14 20:34:02:358',2,0,-48,1056,16,1,1
1362,'2018/02/14 20:34:02:367',2,0,-48,1056,0,1,1
1363,'2018/02/14 20:34:02:367',2,48,-64,1024,-32,1,1
1364,'2018/02/14 20:34:02:377',2,48,-64,1024,32,1,1
1365,'2018/02/14 20:34:02:388',2,48,-64,1024,0,1,1
1366,'2018/02/14 20:34:02:388',2,80,-96,1008,-16,1,1
1367,'2018/02/14 20:34:02:398',2,80,-96,1008,16,1,1
1368,'2018/02/14 20:34:02:398',2,80,-96,1008,0,1,1
1369,'2018/02/14 20:34:02:406',2,32,-96,1024,16,1,1
1370,'2018/02/14 20:34:02:418',2,32,-96,1024,-16,1,1
1371,'2018/02/14 20:34:02:418',2,32,-96,1024,0,1,1
1372,'2018/02/14 20:34:02:427',2,32,-96,1024,0,1,1
1373,'2018/02/14 20:34:02:427',2,32,-80,1056,32,1,1
1374,'2018/02/14 20:34:02:437',2,32,-80,1056,-32,1,1
1375,'2018/02/14 20:34:02:447',2,32,-80,1056,0,1,1
1376,'2018/02/14 20:34:02:447',2,16,-64,976,-80,1,1
1377,'2018/02/14 20:34:02:456',2,16,-64,976,80,1,1
1378,'2018/02/14 20:34:02:456',2,16,-64,976,0,1,1
1379,'2018/02/14 20:34:02:468',2,64,-96,960,-16,1,1
1380,'2018/02/14 20:34:02:468',2,64,-96,960,16,1,1
1381,'2018/02/14 20:34:02:477',2,64,-96,960,0,1,1
1382,'2018/02/14 20:34:02:488',2,48,-96,992,32,1,1
1383,'2018/02/14 20:34:02:489',2,48,-96,992,-32,1,1
1384,'2018/02/14 20:34:02:497',2,48,-96,992,0,1,1
1385,'2018/02/14 20:34:02:507',2,48,-80,1040,48,1,1
1386,'2018/02/14 20:34:02:507',2,16,-80,1040,-48,1,1
1387,'2018/02/14 20:34:02:517',2,16,-80,1040,0,1,1
